userName,content,score,at,appVersion
Hafiz Owais Rafique Sialvi,Im playing since season 8 It was awesome but time by time its getting worse even with full network always request timed out and its keep saying login again Sorry to say but pubg is going to lose players if its gonna be like that ,3,2023-11-01 01:06:37,2.8.0
Iqrabzu Bzu,Nice game,3,2023-11-02 16:12:37,2.8.0
Imran Malaung,Please new update,1,2023-11-02 10:48:33,2.8.0
Muhammad Saleem,Excellent ,5,2023-10-30 02:05:22,2.8.0
Md faisal Ahamed,I love tha game,5,2023-10-30 06:00:24,2.8.0
N Ok,Nice,5,2023-11-01 01:30:26,2.8.0
Diyorbek Usmonqulov,This game is Fantastic,5,2023-10-30 06:02:24,2.8.0
Naseer Baloch,I love this game ,4,2023-10-30 04:37:09,2.8.0
2t3 L,I like pubg mobile but after the collaboration with blackpink I like even more for some reason I cant update my game and I have a lot of space available I fix it,5,2023-10-30 01:36:25,2.8.0
Douglas Chambers,Best mobile game ever,5,2023-10-30 03:39:44,2.8.0
MR Faisal,Its good game,5,2023-10-30 02:01:30,2.8.0
Cyrel Rose Delapa Morales,Good game,5,2023-10-30 03:03:51,2.8.0
Abdul Manan,I am love pubg,5,2023-10-30 03:10:14,2.8.0
aftab naqvi Syad,Very very good game this game is very lucky I am very very happy enjoy this game alltime something,5,2023-11-01 00:23:10,2.8.0
Aiman Syakir,the best game ever secret use high end device for best exp,5,2023-10-30 06:01:00,2.8.0
shaban seif ndutwa,Great game,5,2023-10-29 21:28:26,2.8.0
अबि लामा तामाङ,wow,5,2023-10-30 02:01:21,2.8.0
Kashif Baaz,Action game,5,2023-11-02 13:01:31,2.8.0
Murad Ali khan,Good,5,2023-10-29 21:42:33,2.8.0
Haji Sahab,Thanks pubg,5,2023-10-30 04:37:02,2.8.0
Art Stewart,Great game very stable,5,2023-10-31 22:44:54,2.8.0
Ashir Malik,Love from pakistan,5,2023-10-30 06:00:17,2.8.0
Seif Khaled,Nice,5,2023-11-02 14:15:17,2.8.0
Den Pun,one of the best game ever ,5,2023-10-30 03:43:35,2.8.0
Denise Scott,Good game but just make all rank can play to gather in lobby,5,2023-11-01 00:20:47,2.8.0
Zohaib Hussain,Is Top best game I love this game,5,2023-11-02 09:18:43,2.8.0
George Phillips,Too many crazy good players in every rank,4,2023-10-30 03:42:18,2.8.0
Bob Peter,Jwueuejeuske euens euens sue sue ebeueneue eheueje euensit dudneld dieie did rjejrud rueneidye dudndhruf durnd dudjdhrndurur rriehrnrur ruejene rueuejd ruejene durjeuejejd euens de ebeueneue en euens jshsndur dhdheuebsheue duehsns duejene eueje euejeudjr rueuejd dudhrlsjx rurbskahrbryrhshd dudndhruf rhrur rururjdne udfrid djeneif ejdbeidbdiwnd did d dkeje dkeneejfjr fif rie dieiendid firndid djdndjfie fifneidnf didjdbtoe dkdbtiw firndid did fje didjf djdndir fifbeif fifbt fifnddjd firndid did fi,5,2023-10-31 23:51:58,2.8.0
Josue Ramìrez,Es muy buena la aplicacin solo que soy de latam y comprar UC es algo que cuesta y obtener las cosas es complicado por favor apoyen con bajarle por favor Gracias ,5,2023-11-02 14:39:05,2.8.0
C Sweeney,Great game best,5,2023-11-02 13:00:52,2.8.0
NielZz Gaming,This game very amazing because graphics quality ,5,2023-10-30 03:41:08,2.8.0
saber pouryusfi,i playing for 5 years  this game going to be pay to win  all best item need a lot of money to buy  only useless item is free or in royal pass ,1,2023-10-29 18:18:31,2.8.0
Abdullah Maher,Free palstain Strash game tho,1,2023-10-29 21:09:28,2.8.0
Ryzkii SzF,I liket pubg,5,2023-10-30 01:38:53,2.8.0
Min Khant kyaw,Like,5,2023-10-30 03:09:29,2.8.0
Susma Rai,This game is very interesting But it takes a lot of time to increase the rank,5,2023-11-02 14:44:20,2.8.0
NOUMAN KHANN,Plz sir give me patnar and give me UC please,5,2023-10-29 21:07:27,2.8.0
Ricky Gonzalez Jr,Awesome game Hopefully pubg adds more maps for normal play,5,2023-10-30 06:00:24,2.8.0
Simangaliso KHUMALO,Best game ever,5,2023-10-30 04:37:18,2.8.0
It's Chandan,Its so cool,3,2023-11-02 14:05:06,2.8.0
Mido Mido,Very good game,5,2023-10-30 03:04:01,2.8.0
Meo rock's info,Is a good game,5,2023-10-30 03:47:33,2.8.0
sandun tharaka,Best,5,2023-10-30 05:50:35,2.8.0
Hamza Asif,Good game,5,2023-10-30 04:27:45,2.8.0
Hasnain Haider, i like pubg  very nice and super game,5,2023-10-30 06:01:35,2.8.0
Tucata Rakoli,My favorite game thanks to you guys for this wonderful game I really like it,5,2023-11-01 00:01:15,2.8.0
Muhammad Hassan,My id is 3 year old but I have m4 Glasser not available I will be used many classic crate I am very disappointed with pubg ,5,2023-10-29 21:23:56,2.8.0
Rendel Jude J Tañega,This is Fun but My phone cant support PUBG,5,2023-11-01 05:47:56,2.8.0
BILAL MOHAMED,Best game in the world ,5,2023-11-02 16:15:06,2.8.0
Daniyal Khan,The game is ok when team remove the harmful skin which is against of any religion,3,2023-10-30 05:51:09,2.8.0
Tshokelo Sathekge,Feels great your opponent really on human decision not programed and well calculated defense system that is what gives other players hope,5,2023-10-30 01:32:49,2.8.0
Martin Munene,Its the best with no regrets,5,2023-11-02 10:44:36,2.8.0
ALL MIGHT HERO,hay pubg you are the truly friend of me thank for send me happy birthday gift in my birthday i happy to see that u send me birthday gift actully i not happy in my birthday but u r the only one make me smile And plz ban who playing cheated thay are workless in there lift so plz do that for me Thank You sir,4,2023-10-30 03:42:15,2.8.0
Hasnain Kamran,Very nice game mazedar ,5,2023-11-02 09:21:40,2.8.0
Simon Alaralak,Love love love this game,5,2023-10-30 05:59:35,2.8.0
Kaye Kaye,YesI like pubg,5,2023-11-02 10:40:54,2.8.0
Hamza Bhatti,amazing game,5,2023-10-30 03:07:28,2.8.0
Ko Wana,Very nice gameI like so much,5,2023-10-30 03:07:35,2.8.0
Muhammad Farin,Senang gila nak masuk ace,5,2023-10-30 04:41:55,2.8.0
Wahid Khan,I hat this game ye Islam ke khelaf ja Raha he ye game iam not playing I am oniistall this game,1,2023-11-01 00:58:07,2.8.0
Endy To,Really I like public mobile,5,2023-10-30 05:55:11,2.8.0
Zahid Ali,Good game But gave me some fantastic female friend in the game who is loyal and aggressive,5,2023-10-30 04:37:57,2.8.0
sufian zulfiqar,Super game,5,2023-10-29 19:19:38,2.8.0
Jerald Javier,Ok game,5,2023-11-02 14:06:47,2.8.0
Thinley,Enjoying but I want glacier,5,2023-10-30 04:49:21,2.8.0
Moe Ei Phyu,Very good and well,5,2023-10-30 04:26:52,2.8.0
Guriya Markatiya,Amazing,5,2023-10-30 05:55:31,2.8.0
Allahs Servant,love,5,2023-11-02 10:54:08,2.8.0
Raja Amaan,All things are good but in arena training mode player didnt get bullets with m24 we have to pick them again and again please solve this issue soon in next update,4,2023-10-29 19:46:48,2.8.0
BASSEL Zrieq,lt is very nicy,5,2023-10-29 19:11:22,2.8.0
Raja Arshad Hussain,Done,5,2023-10-30 01:30:23,2.8.0
Raihan Ahmed,My best game and Favorite,5,2023-10-29 18:52:42,2.8.0
Shawkat Ali,I like the games very much,5,2023-10-30 05:51:14,2.8.0
Shoaib Sheikh,GOOD,5,2023-11-02 10:40:40,2.8.0
Mohi Gawish,My best game,5,2023-10-30 03:45:36,2.8.0
Lory Amor,Good games,3,2023-11-01 01:33:21,2.8.0
Glenn Esclamada,The game is always saying Request Time Out when i open it even uf my network is good Not recommended app useless to download,1,2023-10-30 03:04:59,2.8.0
Camiros 1234,Fps drop,2,2023-10-30 03:46:19,2.8.0
Zinger Gaming,There is a lot of difference from increasing your rate of prime plus in pk region Please reduce the rate of prime plus to the previous rate so that people can buy easily,5,2023-11-02 11:08:32,2.8.0
TiGER๛ RaجPuT,Amazing,5,2023-10-30 05:53:50,2.8.0
Talha,Please pubg gave me UC,5,2023-10-30 04:26:09,2.8.0
Jezreel Eslit,This game is very nice,5,2023-10-29 19:34:34,2.8.0
Kamilu Ahmad,More fun than other games try and see,4,2023-11-01 00:25:46,2.8.0
Ayawkol Bata pako,Very lot of hacker nice hahhahh,5,2023-10-30 05:54:39,2.8.0
Elena Renteria,A m eso me gusta y a tieso te gusta,5,2023-10-30 05:52:24,2.8.0
Falk Shar,I like,5,2023-11-01 01:33:34,2.8.0
M. Hamad,I love you too PUBG ,5,2023-10-30 04:26:27,2.8.0
Ty Z,GOOD,5,2023-11-02 09:25:56,2.8.0
Emmanuel Daria,my comfort zone,5,2023-10-30 01:29:55,2.8.0
OUT TAN SAR,I want M416 Glacier skin but I cant get that,5,2023-10-30 04:42:24,2.8.0
Kyaw Gyi,Nice Game,5,2023-11-02 14:45:10,2.8.0
zabit khan,Pubg mobile game great game but please game mb low please  low device not working,5,2023-10-30 04:46:15,2.8.0
moo0ooza,I love you ,5,2023-11-02 14:09:46,2.8.0
SHAON KHAN,This game needs to be more optimization,4,2023-11-02 09:25:10,2.8.0
Nimal Nimal,Sagvan,2,2023-11-02 09:23:16,2.8.0
Usman Rk,Nice,5,2023-10-30 05:55:40,2.8.0
MuSaDDeK AbiR,pubg is a not a game  pubg my life,5,2023-10-30 03:46:35,2.8.0
Siyabonga Mahlangu,Best br game that Ive played its not like cod where I like sliding and stuff its like an irl shooting so I recommend downloading pubg,5,2023-11-02 12:14:30,2.8.0
ko myo kyaw,good,5,2023-10-30 04:27:10,2.8.0
Blxck Sxint,Best online game ever its addictive and has perfect graphics but why cant we get some free UC,5,2023-11-02 14:46:03,2.8.0
Mohsin Taimoor,So beautiful game,4,2023-10-30 01:32:27,2.8.0
rahmath munna,Mind blowing game and its me in day antibiotics for my mind and body,5,2023-10-31 23:14:16,2.8.0
Mussa Ali,Good  and you,1,2023-10-29 18:31:57,2.8.0
inshal Rind,Most popular Game ,5,2023-10-29 21:04:46,2.8.0
Billy,Can you give me dodge car skin please  I already give you five star,5,2023-11-02 16:14:06,2.8.0
Sana Rajpoot,Fantastic,5,2023-10-30 04:37:21,2.8.0
